Global Volcanism Program - Volcanoes of the World 5.0.2,,,,Downloaded on 26 Feb 2023 at 12:19 AM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
351080,Galeras,11380,Confirmed Eruption,,3,,,2008,,10,?,21,,Observations: Reported,,2010,,1,?,2,,1.22,-77.37
233020,"Fournaise, Piton de la",14390,Confirmed Eruption,W wall of Dolomieu crater,1,,,2008,,9,,12,,Observations: Reported,,2009,,2,,4,,-21.244,55.708
273030,Mayon,16818,Confirmed Eruption,,1,,,2008,,8,,10,,Observations: Reported,,2008,,8,,10,,13.257,123.685
311130,Kasatochi,19745,Confirmed Eruption,,4,,,2008,,8,,7,,Observations: Reported,,2008,,8,?,9,,52.177,-175.508
344120,Concepcion,11077,Confirmed Eruption,,1,,,2008,,7,,30,,Observations: Reported,,2008,,7,,30,,11.538,-85.622
352010,Reventador,11449,Confirmed Eruption,,2,,,2008,,7,,27,,Observations: Reported,>,2022,,12,,19,,-0.077,-77.656
311290,Okmok,19852,Confirmed Eruption,NE caldera floor,4,?,,2008,,7,,12,,Observations: Reported,,2008,,8,,19,,53.43,-168.13
344040,Telica,10943,Confirmed Eruption,,1,,,2008,,7,,5,4,Observations: Reported,,2008,,7,,5,4,12.606,-86.84
241130,Rumble III,14676,Confirmed Eruption,,0,,,2008,1,7,,2,182,Observations: Reported,,,,,,,,-35.745,178.478
344020,San Cristobal,10894,Confirmed Eruption,,1,,,2008,,6,,22,,Observations: Reported,,2008,,8,,5,4,12.702,-87.004
263340,Raung,16166,Confirmed Eruption,,2,,,2008,,6,,12,,Observations: Reported,,2008,,6,?,17,,-8.119,114.056
266030,Soputan,16439,Confirmed Eruption,,3,?,,2008,,6,,6,,Observations: Reported,,2008,,11,?,2,,1.112,124.737
